year,state,name,value
2017,MELAKA,Aluminium,0
2017,MELAKA,Glass,5
2017,MELAKA,E-Waste,1
2017,MELAKA,Others,0
2017,JOHOR,Plastic,157
2017,JOHOR,Paper,207
2017,JOHOR,Steel,107
2017,JOHOR,Aluminium,5
2017,JOHOR,Glass,140
2017,JOHOR,E-Waste,14
2017,JOHOR,Others,38
